Question,Answer
1,d
2,b
3,a
4,c
5,b
6,c
7,a
8,b
9,d
10,b
11,d
12,c
13,c
14,c
15,b
16,b
17,c
18,a
19,a
20,a
21,a
22,d
23,a
24,d
25,d
26,a
27,c
28,b
29,a
30,a
31,b
32,d
33,b
34,d
35,d
36,c
37,b
38,d
39,c
40,d
41,a
42,a
43,c
44,a
45,c
46,a
47,d
48,c
49,c
50,a
51,d
52,d
53,c
54,d
55,b
56,c
57,a
58,b
59,d
60,b
61,b
62,d
63,a
64,d
65,b
66,b
67,d
68,b
69,b
70,a
71,d
72,c
73,b
74,d
75,a
76,b
77,a
78,b
79,c
80,b
81,a
82,b
83,c
84,a
85,b
86,d
87,d
88,c
89,a
90,d
91,d
92,d
93,b
94,c
95,d
96,b
97,b
98,a
99,a
100,a
101,a
102,b
103,b
104,c
105,d
106,c
107,a
108,c
109,b
110,a
111,c
112,a
113,b
114,a
115,d
116,b
117,c
118,d
119,d
120,a
121,b
122,b
123,a
124,d
125,a
